True value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
1,1,3.157604545,6.190089576,6.895736286,1.0270335,5.399537043,7.382726204,1.983902585,2.094782,1.919576748,58.04243238
1,2,3.538731576,6.335700763,5.713740738,0.049852,6.10958287,8.118290306,2.371457488,1.44201,0.650615031,26.72325678
1,3,4.034791303,3.941675424,6.04025181,5.356895833,4.233840783,7.636784878,2.68525461,1.075073,1.888541779,43.57433496
1,4,4.656830242,4.31059,7.971034881,0.389404667,4.904671174,5.585927776,1.343407659,1.501848,2.940802025,44.42539952
1,5,2.702080273,6.032722203,7.583775238,0.785119667,5.690131783,7.839055224,1.150589341,1.126784,1.89292589,71.65946524
1,6,5.790116515,2.064201525,6.937178214,0.805301667,3.450762957,5.891630102,2.680511902,1.6059475,3.730901043,34.55305068
1,7,6.389413303,3.566095593,4.533558,2.652568,3.215319826,6.70723298,3.285680976,1.4104375,3.857836196,36.93603144
1,8,3.798088152,5.335852966,6.572534929,2.025582,4.768146478,7.430809918,1.978544732,2.064206,2.076995828,60.76583894
1,9,2.872551121,6.49653678,7.240486857,0.089239833,5.701491652,7.724228755,1.394072317,2.007708,1.996275399,31.99985702
1,10,2.83178897,5.162116949,9.150517524,0.768858333,5.163746348,5.950314776,1.227392244,1.180461,3.695172699,95.14884694
1,11,3.908243,5.931114831,5.66315531,0.462070333,6.09046987,7.654683122,2.363444317,2.164435,1.483104049,91.5743758
1,12,4.460659303,5.828068559,5.202862214,0.084121333,5.620350957,7.777173449,2.490594098,1.5267655,1.410944233,56.68072908
1,13,5.469696,4.064274153,4.866821643,1.730265667,4.795277652,7.274009408,3.047902098,0.8302405,1.748489018,98.55310516
1,14,1.374523545,7.153302288,8.636292833,1.136407333,5.532609043,8.001429816,0.850985,1.897969,1.635718896,103.3190667
1,15,4.45581,4.890527458,5.699245643,0.064397,6.126736783,7.340253694,2.390512293,1.4965585,1.913750859,93.95735656
1,16,4.51533303,3.814372119,6.082318714,0.264760333,4.764530391,7.739967082,2.59710439,1.749145,1.717178834,105.5318345
1,17,4.722492212,4.580339492,5.812389619,0.014745783,5.552598,7.025179388,2.543860585,2.195862,2.268327975,81.53181406
1,18,1.717756,8.381293475,8.141575643,0.547661167,5.479756478,7.801029796,0.771416585,1.1201105,1.997546012,62.80839388
1,19,2.577502485,7.142352881,7.696269024,0.729828667,4.998668087,7.715463531,1.180521878,1.436117,1.479828773,64.17009716
1,20,4.193802364,4.037988983,6.617883167,0.420305,4.214840261,7.378190347,2.858671366,1.507929,1.877954908,79.48925914
