True Value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,1970,1.866 ,0.012 ,0.232 ,0.001 ,0.260 ,0.830 ,0.787 ,0.007 ,0.024 ,850
,1971,1.858 ,0.017 ,0.211 ,0.005 ,0.196 ,0.903 ,0.811 ,0.004 ,0.021 ,780
,1972,1.843 ,0.014 ,0.269 ,0.006 ,0.193 ,0.854 ,0.812 ,0.004 ,0.023 ,944
,1973,1.840 ,0.014 ,0.268 ,0.006 ,0.196 ,0.860 ,0.806 ,0.007 ,0.024 ,823
,1974,1.838 ,0.014 ,0.263 ,0.005 ,0.187 ,0.871 ,0.819 ,0.005 ,0.021 ,974
,1975,1.841 ,0.014 ,0.268 ,0.006 ,0.189 ,0.868 ,0.805 ,0.005 ,0.023 ,909
,1976,1.916 ,0.011 ,0.130 ,0.000 ,0.268 ,0.822 ,0.842 ,0.008 ,0.025 ,544
,1977,1.919 ,0.011 ,0.128 ,0.000 ,0.270 ,0.824 ,0.832 ,0.008 ,0.024 ,546
,1978,1.875 ,0.025 ,0.190 ,0.005 ,0.199 ,0.865 ,0.826 ,0.005 ,0.025 ,271
,1979,1.939 ,0.018 ,0.130 ,0.003 ,0.191 ,0.889 ,0.788 ,0.006 ,0.024 ,295
,1980,1.933 ,0.017 ,0.130 ,0.003 ,0.186 ,0.870 ,0.829 ,0.005 ,0.021 ,204
,1981,1.830 ,0.015 ,0.265 ,0.004 ,0.207 ,0.868 ,0.816 ,0.004 ,0.023 ,879
,1982,1.830 ,0.014 ,0.273 ,0.005 ,0.235 ,0.861 ,0.780 ,0.007 ,0.024 ,1175
,1983,1.923 ,0.013 ,0.100 ,0.000 ,0.272 ,0.821 ,0.870 ,0.008 ,0.018 ,199
,1984,1.924 ,0.014 ,0.111 ,0.000 ,0.281 ,0.809 ,0.851 ,0.009 ,0.016 ,231
,1985,1.899 ,0.007 ,0.161 ,0.007 ,0.184 ,0.828 ,0.910 ,0.005 ,0.017 ,429
,1986,1.900 ,0.007 ,0.162 ,0.008 ,0.182 ,0.836 ,0.902 ,0.003 ,0.013 ,409
,1987,1.876 ,0.007 ,0.195 ,0.006 ,0.176 ,0.855 ,0.884 ,0.002 ,0.026 ,608
,1988,1.876 ,0.007 ,0.205 ,0.007 ,0.181 ,0.849 ,0.873 ,0.002 ,0.020 ,627
,1989,1.877 ,0.007 ,0.209 ,0.007 ,0.181 ,0.841 ,0.874 ,0.001 ,0.024 ,627
,1990,1.882 ,0.008 ,0.199 ,0.006 ,0.183 ,0.841 ,0.877 ,0.002 ,0.022 ,613
