True value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
1,1,1.77420095,0.075043057,0.299620924,0.006162201,0.214189352,0.901753584,0.701340006,0.004189564,0.038289101,341 
1,2,1.786778142,0.076761269,0.249977111,0.000299112,0.230520406,0.937796225,0.717229757,0.00288402,0.017605025,157 
1,3,1.803148113,0.04851177,0.263690576,0.032141375,0.187378338,0.914202459,0.730095439,0.002150146,0.037783231,256 
1,4,1.823675398,0.052864962,0.344783465,0.002336428,0.202807437,0.813710461,0.675079714,0.003003696,0.054935073,261 
1,5,1.759168649,0.073186122,0.32851856,0.004710718,0.220873031,0.924113706,0.667174163,0.002253568,0.037854692,421 
1,6,1.861073845,0.026357578,0.301361485,0.00483181,0.169367548,0.828689875,0.729900988,0.003211895,0.067813687,203 
1,7,1.880850639,0.044079928,0.200409436,0.015915408,0.163952356,0.868654416,0.75471292,0.002820875,0.06988273,217 
1,8,1.795336909,0.064963065,0.286046467,0.012153492,0.199667369,0.904109686,0.701120334,0.004128412,0.040855032,357 
1,9,1.764794187,0.078659134,0.314100448,0.000535439,0.221134308,0.918487209,0.677156965,0.004015416,0.039539289,188 
1,10,1.763449036,0.06291298,0.394321736,0.00461315,0.208766166,0.831565424,0.670323082,0.002360922,0.067231315,559 
1,11,1.798972019,0.071987155,0.247852523,0.002772422,0.230080807,0.915079473,0.716901217,0.00432887,0.031174596,538 
1,12,1.817201757,0.070771209,0.228520213,0.000504728,0.219268072,0.921081499,0.722114358,0.003053531,0.029998391,333 
1,13,1.850499968,0.049958435,0.214406509,0.010381594,0.200291386,0.896426461,0.744963986,0.001660481,0.035500371,579 
1,14,1.715359277,0.086408967,0.372724299,0.006818444,0.217250008,0.932070061,0.654890385,0.003795938,0.033662218,607 
1,15,1.81704173,0.059708224,0.249368317,0.000386382,0.230914946,0.899672431,0.718011004,0.002993117,0.038194139,552 
1,16,1.81900599,0.047009591,0.265457386,0.001588562,0.199584199,0.919258387,0.72648128,0.00349829,0.034990015,620 
1,17,1.825842243,0.056048006,0.254120364,8.84747E-05,0.217709754,0.88423379,0.724298284,0.004391724,0.043973746,479 
1,18,1.726685948,0.100899263,0.351946177,0.003285967,0.216034399,0.92225046,0.65162808,0.002240221,0.03956,369 
1,19,1.755057582,0.086279764,0.333243299,0.004378972,0.204969366,0.918057713,0.668401397,0.002872234,0.031121209,377 
1,20,1.808395478,0.04964827,0.287951093,0.00252183,0.186941326,0.901531327,0.737205526,0.003015858,0.037610665,467 
1,21,1.84728996,0.053602027,0.196342595,0.006450356,0.19467042,0.924261763,0.758066,0.002575712,0.028905407,471 
1,22,1.705159018,0.108868919,0.372142194,0.004448066,0.209261233,0.935440079,0.644331454,0.002494606,0.030821878,415 
1,23,1.823226385,0.068390551,0.234711424,0.003897663,0.199393054,0.919292308,0.725855059,0.002182739,0.024258679,594 
1,24,1.715688019,0.106920153,0.347754799,0.003900741,0.209829841,0.934668159,0.665542805,0.001403624,0.031327455,513 
1,25,1.803298161,0.073629587,0.25256815,0.003533265,0.21882147,0.918317079,0.706857573,0.00413227,0.027727978,427 
1,26,1.698161242,0.11700456,0.390273938,0.003958423,0.207999215,0.921964895,0.625882677,0.002263869,0.037078854,445 
1,27,1.730645926,0.088611673,0.336700052,0.021230179,0.199046937,0.92484271,0.682467634,0.002151078,0.031861737,569 
1,28,1.805387291,0.0688623,0.261132736,0.004755075,0.199680077,0.930086559,0.708759918,0.00327942,0.018439535,406 
1,29,1.711244387,0.099906602,0.363896515,0.004394951,0.216766001,0.926530709,0.658075451,0.003308629,0.039034545,602 
1,30,1.731040858,0.098007454,0.354987087,0.003829269,0.20825515,0.923083604,0.649152774,0.003755276,0.036046662,554 
1,31,1.733540887,0.101212994,0.349611059,0.004648267,0.211263536,0.930098923,0.637793531,0.002569205,0.032165265,566 
1,32,1.708324827,0.112858165,0.376096375,0.004600878,0.208609597,0.917644986,0.641011205,0.001137473,0.034283606,590 
1,33,1.720621732,0.103901655,0.364738513,0.002492018,0.194244771,0.927845411,0.655760238,0.0027969,0.038632997,412 
1,34,1.711044289,0.108061029,0.374645305,0.004581138,0.195843442,0.929041102,0.646886588,0.002868254,0.036476625,427 
1,35,1.792099708,0.0809029,0.255059277,0.001845129,0.221108978,0.92422871,0.708557317,0.00277381,0.023938719,617 
1,36,1.856892963,0.0346275,0.22479358,0.014053398,0.175939878,0.881664957,0.778550864,0.002222373,0.04019677,405 
1,37,1.71831417,0.10348249,0.363483903,0.003850279,0.212347038,0.926161442,0.646460614,0.002685989,0.035500648,559 
