True Value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,1970,5.939393939,0.847457627,5.285714286,0.166666667,7.391304348,5.918367347,4.073170732,3.5,1.042944785,144.680804
,1971,5.696969697,1.271186441,4.785714286,0.833333333,4.608695652,7.408163265,4.658536585,2,0.858895706,132.7659002
,1972,5.242424242,1.016949153,6.166666667,1,4.47826087,6.408163265,4.682926829,2,0.981595092,160.6808176
,1973,5.151515152,1.016949153,6.142857143,1,4.608695652,6.530612245,4.536585366,3.5,1.042944785,140.0850554
,1974,5.090909091,1.016949153,6.023809524,0.833333333,4.217391304,6.755102041,4.853658537,2.5,0.858895706,165.7872049
,1975,5.181818182,1.016949153,6.142857143,1,4.304347826,6.693877551,4.512195122,2.5,0.981595092,154.7233657
,1976,7.454545455,0.762711864,2.857142857,0,7.739130435,5.755102041,5.414634146,4,1.104294479,92.59565328
,1977,7.545454545,0.762711864,2.80952381,0,7.826086957,5.795918367,5.170731707,4,1.042944785,92.9360791
,1978,6.212121212,1.949152542,4.285714286,0.833333333,4.739130435,6.632653061,5.024390244,2.5,1.104294479,46.12752862
,1979,8.151515152,1.355932203,2.857142857,0.5,4.391304348,7.12244898,4.097560976,3,1.042944785,50.21263848
,1980,7.96969697,1.271186441,2.857142857,0.5,4.173913043,6.734693878,5.097560976,2.5,0.858895706,34.7232636
,1981,4.848484848,1.101694915,6.071428571,0.666666667,5.086956522,6.693877551,4.780487805,2,0.981595092,149.6169784
,1982,4.848484848,1.016949153,6.261904762,0.833333333,6.304347826,6.551020408,3.902439024,3.5,1.042944785,200
,1983,7.666666667,0.93220339,2.142857143,0,7.913043478,5.734693878,6.097560976,4,0.674846626,33.87219904
,1984,7.696969697,1.016949153,2.404761905,0,8.304347826,5.489795918,5.634146341,4.5,0.552147239,39.31901218
,1985,6.939393939,0.423728814,3.595238095,1.166666667,4.086956522,5.87755102,7.073170732,2.5,0.613496933,73.02116852
,1986,6.96969697,0.423728814,3.619047619,1.333333333,4,6.040816327,6.87804878,1.5,0.36809816,69.61691032
,1987,6.242424242,0.423728814,4.404761905,1,3.739130435,6.428571429,6.43902439,1,1.165644172,103.4892796
,1988,6.242424242,0.423728814,4.642857143,1.166666667,3.956521739,6.306122449,6.170731707,1,0.797546012,106.7233249
,1989,6.272727273,0.423728814,4.738095238,1.166666667,3.956521739,6.142857143,6.195121951,0.5,1.042944785,106.7233249
,1990,6.424242424,0.508474576,4.5,1,4.043478261,6.142857143,6.268292683,1,0.920245399,104.3403441
,1991,6.393939394,0.508474576,4.380952381,1,3.869565217,6.265306122,6.365853659,1.5,0.920245399,88.1701176
,1992,6.454545455,0.338983051,4.261904762,1,4,6.285714286,6.43902439,2,0.920245399,99.4041697
,1993,6.454545455,0.423728814,4.357142857,1,3.695652174,6.448979592,6.268292683,2,0.736196319,91.4041629
,1994,5.181818182,0.93220339,6.476190476,0.166666667,6.217391304,6.469387755,3.341463415,3,1.165644172,168.8510373
,1995,4.666666667,0.93220339,6.785714286,0.166666667,6.086956522,6.571428571,3.731707317,2,1.288343558,179.9148765
,1996,4.272727273,1.101694915,6.928571429,0.166666667,6.565217391,6.571428571,3.804878049,2.5,1.104294479,180.7659411
,1997,5.303030303,0.847457627,6.142857143,0.166666667,6.043478261,6.367346939,4.048780488,2.5,1.042944785,134.8084552
,1998,5.393939394,1.016949153,5.785714286,0.166666667,5.608695652,6.489795918,4.341463415,3.5,0.981595092,158.8084756
,1999,5.454545455,1.016949153,5.761904762,0.166666667,5.956521739,6.693877551,3.926829268,3,0.797546012,90.55309834
,2000,5.303030303,1.016949153,6.047619048,0.166666667,5.608695652,6.183673469,4.56097561,2.5,0.674846626,148.7659138
,2001,6.515151515,0.762711864,4.714285714,2.166666667,3.869565217,6.551020408,4.975609756,2,0.736196319,94.12756948
,2002,7.090909091,2.033898305,2.5,0.166666667,6.565217391,6.163265306,5.975609756,3,1.104294479,46.46795444
,2003,5.878787879,1.694915254,3.857142857,0.666666667,4.739130435,7.346938776,5.585365854,2.5,1.042944785,54.63817416
,2004,8.787878788,0.93220339,1.214285714,0.166666667,7.652173913,6.12244898,4.975609756,6,1.963190184,37.9573089
,2005,8.666666667,1.016949153,1.238095238,0.166666667,7.304347826,6.163265306,5.365853659,5.5,1.472392638,33.02113448
,2006,6.121212121,1.86440678,3.952380952,1,4.695652174,7.346938776,5,2.5,0.858895706,47.99987064
,2007,6.424242424,1.610169492,3.928571429,0.833333333,4.217391304,7.224489796,5.12195122,3,0.736196319,34.8934765
,2008,8.060606061,1.016949153,2.30952381,1,3.826086957,6.653061224,6.195121951,2,0.674846626,46.80838026
,2009,7.757575758,1.016949153,2.30952381,0.666666667,3.47826087,7.020408163,6.43902439,2.5,0.674846626,43.91476078
,2010,8.515151515,1.186440678,1.5,0.166666667,7.826086957,5.714285714,5.341463415,6.5,1.288343558,25.53176642
,2011,7.060606061,1.355932203,3.380952381,0.166666667,7,6.183673469,4.804878049,3.5,0.981595092,73.53180726
,2012,6.393939394,1.186440678,3.69047619,4.333333333,2.260869565,7.408163265,5.902439024,1.5,0.674846626,82.55309154
,2013,8.181818182,0.762711864,2.214285714,2.833333333,1.304347826,7.551020408,6.292682927,1.5,0.490797546,68.76584576
